ID,School_Name,System_ID,Type,School_Phone,Enrollment_Count,Teacher_Count,Teachers_Less_Than_1_Year_Experience_(%),Teachers_Between_1_and_10_Years_Experience_(%),Teachers_Between_11_and_20_Years_Experience_(%),Teachers Between_21_and_30_Years_Experience_(%),Teachers_Greater_Than_30_Years_Experience_(%)
1071,Sterling Elementary School,663,Elementary School,912.279.1509,771.0,57.0,0.0,28.0,25.0,46.0,2.0
1072,Morningstar Treatment Services Inc. Youth Estate,663,High School,912.267.3700,38.0,7.0,0.0,0.0,71.0,29.0,0.0
1073,Glynn Middle,663,Middle School,912.267.4150,847.0,57.0,0.0,21.0,25.0,49.0,5.0
1074,Jane Macon Middle,663,Middle School,912.265.3337,822.0,54.0,6.0,32.0,30.0,26.0,7.0
1075,Risley Middle School,663,Middle School,912.267.4100,667.0,48.0,0.0,27.0,23.0,44.0,6.0
1076,Glyndale Elementary School,663,Elementary School,912.264.8740,629.0,55.0,0.0,31.0,33.0,26.0,11.0
1077,Golden Isles Elementary School,663,Elementary School,912.264.6822,654.0,53.0,0.0,42.0,21.0,32.0,6.0
1078,Oglethorpe Point Elementary School,663,Elementary School,912.638.6200,532.0,39.0,0.0,18.0,15.0,62.0,5.0
1079,Satilla Marsh Elementary School,663,Elementary School,912.265.3675,782.0,58.0,0.0,36.0,22.0,41.0,0.0
1080,Needwood Middle School,663,Middle School,912.261.4488,659.0,55.0,0.0,33.0,29.0,33.0,6.0
1081,Greer Elementary School,663,Elementary School,912.267.4135,665.0,52.0,0.0,27.0,29.0,35.0,10.0
1082,Altama Elementary School,663,Elementary School,912.264.3563,459.0,44.0,0.0,16.0,41.0,41.0,2.0
1083,St. Simons Elementary School,663,Elementary School,912.638.2851,545.0,41.0,0.0,7.0,24.0,61.0,7.0
1084,Brunswick High School,663,High School,912.267.4200,1774.0,109.0,0.0,21.0,28.0,50.0,1.0
1085,Burroughs-Molette Elementary School,663,Elementary School,912.267.4130,530.0,44.0,0.0,34.0,27.0,34.0,5.0
1086,Glynn Academy,663,High School,912.267.4210,1923.0,105.0,0.0,19.0,20.0,61.0,0.0
1087,Goodyear Elementary School,663,Elementary School,912.267.4170,465.0,46.0,0.0,35.0,20.0,44.0,2.0
1088,Sonoraville High School,664,High School,706.602.0320,1083.0,71.0,4.0,24.0,51.0,20.0,1.0
1089,Sonoraville Elementary,664,Elementary School,706.879.5302,603.0,42.0,10.0,41.0,38.0,12.0,0.0
1090,Red Bud Middle School,664,Middle School,706.879.5261,878.0,58.0,2.0,26.0,45.0,24.0,3.0
1091,Tolbert Elementary School,664,Elementary School,706.629.4404,523.0,37.0,11.0,19.0,46.0,24.0,0.0
1092,Red Bud Elementary School,664,Elementary School,706.625.2111,489.0,38.0,5.0,45.0,26.0,21.0,3.0
1093,Swain Elementary School,664,Elementary School,706.629.0141,408.0,33.0,12.0,39.0,39.0,9.0,0.0
1094,Gordon Central High School,664,High School,706.629.7391,867.0,59.0,3.0,31.0,39.0,25.0,2.0
1095,Ashworth Middle School,664,Middle School,706.625.9545,649.0,47.0,9.0,23.0,51.0,15.0,2.0
1096,Belwood Elementary School,664,Elementary School,706.629.9547,446.0,41.0,10.0,37.0,32.0,17.0,5.0
1097,Fairmount Elementary School,664,Elementary School,706.337.5321,362.0,32.0,9.0,44.0,28.0,19.0,0.0
1098,Washington Middle School,665,Middle School,229.377.2106,702.0,52.0,12.0,27.0,37.0,21.0,4.0
1099,Eastside Elementary School,665,Elementary School,229.377.8441,570.0,45.0,0.0,38.0,27.0,31.0,4.0
1100,Cairo High School,665,High School,229.377.2222,1254.0,74.0,5.0,43.0,23.0,18.0,11.0
1101,Whigham Elementary School,665,Elementary School,229.762.4167,448.0,36.0,11.0,28.0,25.0,31.0,6.0
1102,Northside Elementary School,665,Elementary School,229.377.2422,365.0,27.0,4.0,37.0,33.0,15.0,11.0
1103,Southside Elementary School,665,Elementary School,229.377.3723,583.0,45.0,16.0,38.0,36.0,11.0,0.0
1104,Shiver Elementary School,665,Elementary School,229.377.2325,489.0,40.0,0.0,28.0,40.0,33.0,0.0
1105,Anita White Carson Middle School,666,Middle School,706.453.3308,337.0,31.0,0.0,42.0,29.0,29.0,0.0
1106,LAKE OCONEE CHARTER,666,Elementary School,706.454.1562,966.0,75.0,1.0,37.0,40.0,21.0,0.0
1107,Greene County Primary School,666,Elementary School,706.486.4117,253.0,28.0,0.0,43.0,32.0,21.0,4.0
1108,Greene County High School,666,High School,706.453.2271,422.0,42.0,0.0,31.0,48.0,17.0,5.0
1110,Rock Springs Elementary School,667,Elementary School,770.932.7474,819.0,60.0,7.0,32.0,25.0,28.0,8.0
1111,Grayson High School,667,High School,770.554.1071,3064.0,168.0,5.0,39.0,34.0,20.0,2.0
1112,Norcross High School,667,High School,770.448.3674,3180.0,184.0,9.0,45.0,29.0,14.0,4.0
1113,Mill Creek High School,667,High School,678.714.5850,3710.0,198.0,4.0,31.0,33.0,26.0,6.0
1114,Trickum Middle School,667,Middle School,770.921.2705,2176.0,124.0,11.0,37.0,31.0,19.0,2.0
1115,Benefield Elementary School,667,Elementary School,770.962.3771,1198.0,95.0,11.0,37.0,36.0,16.0,1.0
1116,Centerville Elementary School,667,Elementary School,770.972.2220,704.0,50.0,6.0,38.0,30.0,20.0,6.0
1117,Parkview High School,667,High School,770.921.2874,3055.0,165.0,2.0,30.0,40.0,22.0,6.0
1118,Head Elementary School,667,Elementary School,770.972.8050,607.0,45.0,0.0,33.0,42.0,18.0,7.0
1119,Brookwood High School,667,High School,770.972.7642,3585.0,191.0,3.0,27.0,42.0,20.0,7.0
1120,Berkeley Lake Elementary School,667,Elementary School,770.446.0947,836.0,63.0,6.0,35.0,37.0,21.0,2.0
1121,Shiloh High School,667,High School,770.972.8471,2249.0,123.0,10.0,47.0,27.0,15.0,2.0
1122,Pinckneyville Middle School,667,Middle School,770.263.0860,1261.0,84.0,13.0,46.0,29.0,10.0,2.0
1123,Meadowcreek High School,667,High School,770.381.9680,3289.0,173.0,7.0,44.0,35.0,10.0,4.0
1124,Richards Middle School,667,Middle School,770.995.7133,2180.0,128.0,8.0,35.0,40.0,14.0,3.0
1125,Phoenix High School,667,High School,770.513.6862,555.0,33.0,0.0,9.0,24.0,46.0,21.0
1126,Chattahoochee Elementary School,667,Elementary School,770.497.9907,1391.0,89.0,2.0,24.0,49.0,21.0,3.0
1127,Dacula Elementary School,667,Elementary School,770.963.7174,1114.0,69.0,7.0,19.0,36.0,36.0,1.0
1128,Walnut Grove Elementary School,667,Elementary School,770.513.6892,839.0,67.0,3.0,36.0,37.0,22.0,2.0
1129,Craig Elementary School,667,Elementary School,770.978.5560,995.0,74.0,11.0,28.0,31.0,24.0,5.0
1130,Collins Hill High School,667,High School,770.682.4100,3023.0,165.0,7.0,35.0,33.0,21.0,4.0
1131,Harbins Elementary School,667,Elementary School,770.682.4270,1284.0,86.0,4.0,34.0,44.0,17.0,1.0
1132,Creekland Middle School,667,Middle School,770.338.4700,2000.0,118.0,8.0,36.0,34.0,19.0,3.0
1133,Crews Middle School,667,Middle School,770.982.6940,1402.0,83.0,5.0,29.0,45.0,19.0,2.0
1134,Meadowcreek Elementary School,667,Elementary School,770.931.5701,878.0,68.0,2.0,47.0,31.0,18.0,3.0
1135,Freeman's Mill Elementary School,667,Elementary School,678.377.8955,848.0,60.0,2.0,22.0,30.0,42.0,5.0
1136,Osborne Middle School,667,Middle School,770.904.5400,1703.0,110.0,4.0,27.0,33.0,30.0,6.0
1137,Corley Elementary School,667,Elementary School,678.924.5330,1186.0,93.0,8.0,54.0,26.0,11.0,2.0
1138,Mulberry Elementary School,667,Elementary School,678.226.7460,757.0,56.0,2.0,25.0,59.0,14.0,0.0
1139,Lanier Middle School,667,Middle School,770.945.8419,1421.0,80.0,3.0,33.0,43.0,21.0,1.0
1140,Lovin Elementary School,667,Elementary School,678.518.6940,899.0,71.0,6.0,37.0,37.0,20.0,1.0
1141,Knight Elementary School,667,Elementary School,770.921.2400,874.0,63.0,5.0,48.0,30.0,18.0,0.0
1142,Sweetwater Middle School,667,Middle School,770.923.4131,1580.0,99.0,0.0,42.0,38.0,14.0,5.0
1143,Five Forks Middle School,667,Middle School,770.972.1506,1183.0,69.0,0.0,49.0,29.0,20.0,1.0
1144,Beaver Ridge Elementary School,667,Elementary School,770.447.6307,1108.0,82.0,6.0,63.0,20.0,9.0,2.0
1145,Annistown Elementary School,667,Elementary School,770.979.2950,694.0,49.0,8.0,41.0,27.0,22.0,2.0
1146,Shiloh Middle School,667,Middle School,770.972.3224,1825.0,110.0,8.0,35.0,46.0,9.0,3.0
1147,Hopkins Elementary School,667,Elementary School,770.564.2661,1202.0,86.0,14.0,50.0,26.0,9.0,1.0
1148,Brookwood Elementary School,667,Elementary School,770.736.4360,1334.0,94.0,4.0,33.0,35.0,23.0,4.0
1149,Norton Elementary School,667,Elementary School,770.985.1933,1076.0,69.0,9.0,39.0,32.0,10.0,10.0
1150,Minor Elementary School,667,Elementary School,770.925.9543,1005.0,81.0,6.0,46.0,31.0,12.0,5.0
1151,McKendree Elementary School,667,Elementary School,678.377.8933,1070.0,77.0,10.0,33.0,38.0,18.0,1.0
1152,Shiloh Elementary School,667,Elementary School,770.985.6883,719.0,59.0,0.0,46.0,29.0,19.0,7.0
1153,Nesbit Elementary School,667,Elementary School,770.414.2740,1171.0,90.0,11.0,52.0,26.0,8.0,3.0
1154,Fort Daniel Elementary School,667,Elementary School,770.932.7400,651.0,51.0,2.0,20.0,24.0,45.0,10.0
1155,Sugar Hill Elementary School,667,Elementary School,770.945.5735,1117.0,77.0,3.0,16.0,44.0,33.0,5.0
1156,Hull Middle School,667,Middle School,770.232.3200,1301.0,83.0,5.0,23.0,46.0,24.0,2.0
1157,Mason Elementary School,667,Elementary School,770.232.3370,919.0,64.0,8.0,33.0,31.0,22.0,6.0
1158,Stripling Elementary School,667,Elementary School,770.582.7577,714.0,63.0,11.0,40.0,33.0,11.0,5.0
1159,Berkmar Middle School,667,Middle School,770.638.2300,1187.0,76.0,7.0,58.0,24.0,8.0,4.0
1160,Ivy Creek Elementary School,667,Elementary School,678.714.3655,1218.0,77.0,3.0,25.0,31.0,38.0,4.0
1161,Rosebud Elementary School,667,Elementary School,678.639.3800,1039.0,74.0,4.0,47.0,26.0,22.0,1.0
1162,Gwin Oaks Elementary School,667,Elementary School,770.972.3110,980.0,68.0,0.0,37.0,40.0,22.0,2.0
1163,Dacula Middle School,667,Middle School,770.963.1110,1691.0,98.0,4.0,39.0,36.0,18.0,3.0
1164,Arcado Elementary School,667,Elementary School,770.925.2100,981.0,66.0,6.0,38.0,29.0,26.0,2.0
1165,Gwinnett InterVention Education (GIVE) Center East,667,High School,770.338.4855,333.0,40.0,5.0,33.0,43.0,5.0,15.0
1166,Cedar Hill Elementary School,667,Elementary School,770.962.5015,993.0,67.0,10.0,21.0,49.0,18.0,2.0
1167,Pharr Elementary School,667,Elementary School,770.985.0244,673.0,56.0,5.0,23.0,38.0,32.0,2.0
1168,Simonton Elementary School,667,Elementary School,770.513.6637,814.0,58.0,5.0,28.0,45.0,19.0,3.0
1169,Jackson Elementary School,667,Elementary School,770.682.4200,1526.0,101.0,6.0,44.0,31.0,16.0,4.0
1170,Magill Elementary School,667,Elementary School,770.554.1030,1139.0,82.0,6.0,51.0,29.0,10.0,4.0
1171,Partee Elementary School,667,Elementary School,770.982.6920,701.0,57.0,12.0,33.0,37.0,16.0,2.0
1172,Riverside Elementary School,667,Elementary School,678.482.1000,983.0,70.0,3.0,19.0,39.0,36.0,4.0
1173,Jones Middle School,667,Middle School,770.904.5450,960.0,59.0,5.0,24.0,29.0,34.0,9.0
1174,Puckett's Mill Elementary School,667,Elementary School,678.765.5110,824.0,57.0,4.0,7.0,53.0,35.0,2.0
1175,Simpson Elementary School,667,Elementary School,770.417.2400,873.0,74.0,10.0,45.0,26.0,16.0,4.0
1176,Kanoheda Elementary School,667,Elementary School,770.682.4221,802.0,69.0,6.0,39.0,32.0,16.0,7.0
1177,McConnell Middle School,667,Middle School,770.554.1000,2148.0,118.0,9.0,30.0,38.0,22.0,2.0
1178,Taylor Elementary School,667,Elementary School,770.338.4680,846.0,60.0,3.0,35.0,40.0,20.0,2.0
1179,Sycamore Elementary School,667,Elementary School,678.714.5770,783.0,62.0,8.0,45.0,32.0,13.0,2.0
1180,Trip Elementary School,667,Elementary School,678.639.3850,1224.0,77.0,12.0,44.0,33.0,9.0,3.0
1181,Cooper Elementary School,667,Elementary School,770.554.7050,1464.0,81.0,9.0,25.0,36.0,27.0,4.0
1182,Patrick Elementary School,667,Elementary School,678.765.5260,740.0,47.0,9.0,23.0,47.0,15.0,6.0
1183,Parsons Elementary School,667,Elementary School,678.957.3050,752.0,54.0,2.0,32.0,44.0,20.0,2.0
1184,Oakland Meadow School,667,K12,770.513.6800,57.0,81.0,5.0,17.0,44.0,30.0,4.0
1185,Peachtree Ridge High School,667,High School,678.957.3100,3271.0,172.0,4.0,45.0,33.0,13.0,5.0
1186,Duluth Middle School,667,Middle School,770.476.3372,1472.0,99.0,9.0,41.0,36.0,8.0,5.0
1187,Alcova Elementary School,667,Elementary School,678.376.8500,1407.0,96.0,7.0,38.0,29.0,22.0,4.0
1188,Bay Creek Middle School,667,Middle School,678.344.7570,1157.0,65.0,9.0,22.0,51.0,14.0,5.0
1189,Grace Snell Middle School,667,Middle School,770.554.7750,1241.0,76.0,1.0,47.0,33.0,16.0,3.0
1190,Ferguson Elementary School,667,Elementary School,678.245.5450,828.0,67.0,5.0,46.0,39.0,10.0,0.0
1191,Roberts Elementary School,667,Elementary School,678.745.2370,797.0,54.0,2.0,13.0,52.0,30.0,4.0
1192,Jenkins Elementary School,667,Elementary School,678.407.8900,843.0,55.0,4.0,46.0,40.0,7.0,4.0
1193,Anderson-Livsey Elementary School,667,Elementary School,678.344.2082,740.0,49.0,10.0,41.0,33.0,10.0,6.0
1194,Burnette Elementary School,667,Elementary School,678.546.2170,640.0,51.0,6.0,33.0,45.0,12.0,4.0
1195,Lanier High School,667,High School,678.765.4040,1868.0,107.0,9.0,40.0,36.0,14.0,1.0
1196,Gwinnett School of Mathematics Science and Technology,667,High School,678.518.6700,1098.0,70.0,7.0,31.0,41.0,17.0,3.0
1197,New Life Academy of Excellence,667,Elementary School,678.720.9870,571.0,32.0,38.0,47.0,9.0,6.0,0.0
1198,Berkmar High School,667,High School,770.921.3636,2912.0,180.0,6.0,40.0,36.0,16.0,2.0
1199,Dyer Elementary School,667,Elementary School,770.963.6214,852.0,59.0,7.0,29.0,44.0,15.0,5.0
1200,Lilburn Middle School,667,Middle School,770.921.1776,1764.0,111.0,12.0,48.0,28.0,11.0,2.0
1201,Rockbridge Elementary School,667,Elementary School,770.448.9363,1235.0,92.0,7.0,59.0,27.0,7.0,1.0
1202,Alford Elementary,667,Elementary School,678.924.5300,920.0,68.0,10.0,52.0,25.0,9.0,4.0
1203,Starling Elementary School,667,Elementary School,678.344.6100,1078.0,64.0,5.0,28.0,50.0,16.0,2.0
1204,Moore Middle School,667,Middle School,678.226.7100,961.0,63.0,5.0,48.0,29.0,18.0,2.0
1205,Gwinnett Intervention Education Center (GIVE) West,667,High School,770.246.5300,253.0,35.0,6.0,26.0,51.0,14.0,3.0
1206,Northbrook Middle School,667,Middle School,678.407.7140,999.0,61.0,2.0,25.0,57.0,12.0,5.0
1207,Duncan Creek Elementary,667,Elementary School,678.714.5800,1338.0,87.0,0.0,12.0,59.0,28.0,2.0
1208,Couch Middle School,667,Middle School,678.407.7272,1058.0,62.0,10.0,24.0,37.0,27.0,2.0
1209,Gwinnett Online Campus,667,High School,770.326.8082,478.0,36.0,0.0,17.0,56.0,25.0,3.0
1210,North Metro Academy of Performing Arts,667,Elementary School,770.903.3400,345.0,22.0,59.0,27.0,9.0,5.0,0.0
1211,Winn Holt Elementary School,667,Elementary School,678.376.8600,1137.0,84.0,8.0,39.0,36.0,14.0,2.0
1212,White Oak Elementary School,667,Elementary School,678.546.5550,728.0,43.0,0.0,16.0,56.0,28.0,0.0
1213,Level Creek Elementary School,667,Elementary School,770.904.7950,1021.0,67.0,3.0,21.0,48.0,16.0,12.0
1214,Mountain View High School,667,High School,678.407.7600,2660.0,127.0,3.0,39.0,39.0,17.0,2.0
1215,Radloff Middle School,667,Middle School,678.245.3400,1394.0,92.0,9.0,47.0,30.0,12.0,2.0
1216,North Gwinnett Middle School,667,Middle School,678.745.2300,2225.0,133.0,5.0,29.0,39.0,26.0,1.0
1217,Chesney Elementary School,667,Elementary School,678.542.2300,1174.0,90.0,14.0,46.0,28.0,9.0,3.0
1218,Twin Rivers Middle School,667,Middle School,678.407.7550,2103.0,117.0,9.0,33.0,36.0,19.0,3.0
1219,Archer High School,667,High School,678.407.7700,2743.0,137.0,3.0,37.0,38.0,21.0,2.0
1220,Woodward Mill Elementary School,667,Elementary School,678.407.7590,1004.0,69.0,6.0,25.0,54.0,12.0,4.0
1221,Baggett Elementary School,667,Elementary School,678.301.6100,1077.0,78.0,5.0,40.0,36.0,18.0,1.0
1222,Graves Elementary School,667,Elementary School,770.326.8000,1232.0,90.0,12.0,51.0,26.0,10.0,1.0
1223,Jordan Middle School,667,Middle School,770.822.6500,929.0,63.0,8.0,44.0,32.0,13.0,3.0
1224,Discovery High School,667,High School,678.226.4250,2749.0,154.0,8.0,47.0,31.0,12.0,1.0
1225,Coleman Middle School,667,Middle School,678.407.4700,859.0,53.0,6.0,30.0,47.0,17.0,0.0
1226,Baldwin Elementary,667,Elementary School,678.225.5500,1050.0,74.0,0.0,53.0,32.0,11.0,4.0
1227,International Transition Center,667,High School,770.316.8944,181.0,17.0,6.0,18.0,53.0,18.0,6.0
1228,Paul Duke STEM High School,667,High School,470.323.3600,614.0,40.0,8.0,60.0,30.0,3.0,0.0
1230,Bethesda Elementary School,667,Elementary School,770.921.2000,1201.0,86.0,12.0,37.0,36.0,13.0,2.0
1231,Grayson Elementary School,667,Elementary School,770.963.7189,882.0,64.0,2.0,17.0,30.0,44.0,8.0
1232,Harmony Elementary School,667,Elementary School,770.945.7272,550.0,36.0,6.0,44.0,33.0,17.0,0.0
1233,Mountain Park Elementary School,667,Elementary School,770.921.2224,623.0,41.0,5.0,37.0,34.0,22.0,2.0
1234,Snellville Middle School,667,Middle School,770.972.1530,940.0,51.0,6.0,35.0,45.0,12.0,2.0
1235,South Gwinnett High School,667,High School,770.972.4840,2568.0,141.0,4.0,47.0,36.0,9.0,5.0
1236,Britt Elementary School,667,Elementary School,770.972.4500,631.0,44.0,7.0,27.0,41.0,23.0,2.0
1237,Harris Elementary School,667,Elementary School,770.476.2241,811.0,64.0,8.0,39.0,36.0,16.0,2.0
1238,Camp Creek Elementary School,667,Elementary School,770.921.1626,1290.0,91.0,2.0,29.0,37.0,30.0,2.0
1239,Central Gwinnett High School,667,High School,770.963.8041,2123.0,130.0,7.0,47.0,33.0,11.0,2.0
1240,Dacula High School,667,High School,770.963.6664,2224.0,112.0,11.0,35.0,32.0,18.0,5.0
1241,Norcross Elementary School,667,Elementary School,770.448.2188,863.0,62.0,2.0,45.0,36.0,15.0,3.0
1242,Summerour Middle School,667,Middle School,770.448.3045,1716.0,122.0,6.0,53.0,30.0,10.0,3.0
1243,North Gwinnett High School,667,High School,770.945.9558,3209.0,156.0,5.0,33.0,37.0,20.0,5.0
1244,Lawrenceville Elementary School,667,Elementary School,770.963.1813,643.0,56.0,4.0,39.0,36.0,18.0,4.0
1245,Peachtree Elementary School,667,Elementary School,770.448.8710,957.0,66.0,8.0,32.0,39.0,17.0,5.0
1246,Suwanee Elementary School,667,Elementary School,770.945.5763,650.0,43.0,12.0,40.0,28.0,21.0,0.0
1247,Duluth High School,667,High School,770.476.5206,2755.0,156.0,10.0,39.0,30.0,16.0,6.0
1248,Lilburn Elementary School,667,Elementary School,770.921.7707,1403.0,103.0,5.0,42.0,30.0,22.0,1.0
1249,Cornelia Elementary School,668,Elementary School,706.778.6526,495.0,44.0,2.0,23.0,39.0,30.0,7.0
1250,Level Grove Elementary School,668,Elementary School,706.778.3087,499.0,45.0,0.0,42.0,42.0,16.0,0.0
1251,Habersham Ninth Grade Academy,668,High School,706.778.0830,515.0,37.0,3.0,32.0,38.0,22.0,5.0
1252,Hilliard A. Wilbanks Middle School,668,Middle School,706.778.0830,515.0,37.0,8.0,27.0,38.0,24.0,3.0
1253,Habersham Success Academy,668,High School,706.894.3056,74.0,1.0,0.0,100.0,0.0,0.0,0.0
1254,Clarkesville Elementary School,668,Elementary School,706.754.2442,377.0,31.0,3.0,16.0,42.0,32.0,7.0
1255,North Habersham Middle School,668,Middle School,706.754.2915,568.0,43.0,5.0,28.0,44.0,21.0,2.0
1256,Demorest Elementary School,668,Elementary School,706.778.4126,477.0,39.0,3.0,36.0,31.0,23.0,8.0
1257,South Habersham Middle School,668,Middle School,706.778.7121,461.0,39.0,0.0,33.0,54.0,13.0,0.0
1258,Baldwin Elementary School,668,Elementary School,706.778.6435,357.0,32.0,6.0,56.0,19.0,16.0,3.0
1259,Habersham Central High School,668,High School,706.778.7161,1398.0,82.0,5.0,26.0,35.0,26.0,9.0
1260,Woodville Elementary School,668,Elementary School,706.754.4225,205.0,20.0,10.0,40.0,20.0,30.0,0.0
1261,Fairview Elementary School,668,Elementary School,706.778.2030,440.0,39.0,0.0,33.0,44.0,13.0,10.0
1262,Hazel Grove Elementary School,668,Elementary School,706.754.2942,315.0,28.0,0.0,39.0,39.0,14.0,7.0
1263,C. W. Davis Middle School,669,Middle School,770.965.3020,821.0,68.0,0.0,41.0,34.0,24.0,2.0
1264,Martin Elementary School,669,Elementary School,770.965.1578,688.0,49.0,0.0,27.0,47.0,20.0,6.0
1265,Chestatee High School,669,High School,770.532.1162,1323.0,79.0,0.0,38.0,32.0,25.0,5.0
1266,Sugar Hill Elementary,669,Elementary School,770.503.1749,643.0,46.0,0.0,37.0,39.0,20.0,4.0
1267,Lanier College and Career Academy,669,High School,770.531.2330,211.0,24.0,4.0,29.0,50.0,8.0,8.0
1268,Chicopee Elementary School,669,Elementary School,770.536.2075,698.0,50.0,2.0,50.0,30.0,16.0,2.0
1269,World Language Academy,669,Elementary School,770.967.5854,599.0,41.0,0.0,51.0,29.0,20.0,0.0
1270,Myers Elementary School,669,Elementary School,770.536.0814,607.0,48.0,0.0,31.0,46.0,21.0,2.0
1271,West Hall High School,669,High School,770.967.9826,1104.0,72.0,0.0,57.0,29.0,11.0,3.0
1272,Spout Springs Elementary School,669,Elementary School,770.967.4860,761.0,46.0,0.0,35.0,33.0,33.0,0.0
1273,Mount Vernon Elementary School,669,Elementary School,770.983.1759,613.0,36.0,0.0,19.0,33.0,42.0,6.0
1274,Friendship Elementary School,669,Elementary School,770.932.1223,630.0,39.0,0.0,18.0,39.0,33.0,10.0
1275,Chestatee Middle School,669,Middle School,770.297.6270,959.0,70.0,1.0,39.0,31.0,27.0,1.0
1276,Flowery Branch High,669,High School,770.967.8000,1333.0,80.0,0.0,40.0,34.0,25.0,1.0
1277,Wauka Mountain Elementary School,669,Elementary School,770.983.3221,592.0,37.0,3.0,35.0,41.0,16.0,5.0
1278,East Hall Middle School,669,Middle School,770.531.9457,1040.0,68.0,0.0,44.0,41.0,13.0,2.0
1279,West Hall Middle School,669,Middle School,770.967.4871,853.0,60.0,0.0,43.0,27.0,23.0,7.0
1280,North Hall Middle School,669,Middle School,770.983.9749,867.0,62.0,0.0,37.0,31.0,29.0,3.0
1281,Cherokee Bluff Middle,669,Middle School,770.534.1080,672.0,50.0,0.0,42.0,44.0,12.0,2.0
1282,Cherokee Bluff High School,669,High School,770.534.1080,704.0,50.0,0.0,36.0,46.0,16.0,2.0
1283,The Foundry,669,High School,770.531.2330,51.0,4.0,0.0,50.0,25.0,25.0,0.0
1284,World Language Academy Middle School,669,Middle School,770.533.4004,237.0,16.0,0.0,50.0,31.0,19.0,0.0
1285,White Sulphur Elementary School,669,Elementary School,770.532.0945,448.0,34.0,0.0,71.0,18.0,12.0,0.0
1286,East Hall High School,669,High School,770.536.9921,1245.0,73.0,3.0,52.0,27.0,14.0,4.0
1287,North Hall High School,669,High School,770.983.7331,1122.0,68.0,0.0,31.0,41.0,24.0,4.0
1288,Flowery Branch Elementary School,669,Elementary School,770.967.6621,564.0,37.0,3.0,51.0,24.0,22.0,0.0
1289,Oakwood Elementary School,669,Elementary School,770.532.1656,468.0,37.0,0.0,27.0,35.0,30.0,8.0
1290,Lanier Elementary School,669,Elementary School,770.532.8781,462.0,29.0,0.0,17.0,45.0,35.0,3.0
1291,Riverbend Elementary School,669,Elementary School,770.534.4141,407.0,28.0,0.0,39.0,32.0,21.0,7.0
1292,Chestnut Mountain Elementary School,669,Elementary School,770.967.3121,725.0,41.0,0.0,34.0,32.0,32.0,2.0
1293,Lula Elementary School,669,Elementary School,770.869.3261,414.0,26.0,0.0,42.0,42.0,15.0,0.0
1294,Sardis Elementary School,669,Elementary School,770.532.0104,592.0,43.0,0.0,35.0,37.0,23.0,5.0
1295,South Hall Middle School,669,Middle School,770.532.4416,1085.0,77.0,0.0,31.0,40.0,26.0,3.0
1296,Johnson High School,669,High School,770.536.2394,1439.0,89.0,2.0,57.0,21.0,16.0,3.0
1297,Lyman Hall Elementary School,669,Elementary School,770.534.7044,691.0,60.0,0.0,23.0,47.0,30.0,0.0
1298,McEver Elementary School,669,Elementary School,770.534.7473,484.0,35.0,0.0,31.0,43.0,26.0,0.0
1299,Tadmore Elementary School,669,Elementary School,770.536.9929,509.0,40.0,0.0,38.0,43.0,20.0,0.0
1300,Hancock Central Middle School,670,Middle School,706.444.6652,213.0,16.0,0.0,44.0,31.0,19.0,6.0
1301,Lewis Elementary School,670,Elementary School,706.444.7028,340.0,27.0,0.0,52.0,26.0,22.0,0.0
1302,Hancock Central High School,670,High School,706.444.7009,235.0,18.0,22.0,17.0,39.0,17.0,6.0
1303,Tallapoosa Primary School,671,Elementary School,770.574.7444,349.0,45.0,0.0,31.0,27.0,36.0,7.0
1304,Buchanan Elementary School,671,Elementary School,770.646.5140,364.0,33.0,0.0,33.0,30.0,30.0,6.0
1305,Haralson County Middle School,671,Middle School,770.646.8600,785.0,59.0,3.0,36.0,34.0,22.0,5.0
1306,Haralson County Rebel Academy,671,High School,770.574.7647,21.0,1.0,0.0,0.0,0.0,100.0,0.0
1307,Buchanan Primary School,671,Elementary School,770.646.5523,341.0,39.0,3.0,39.0,33.0,15.0,10.0
1308,Haralson County High School,671,High School,770.574.7647,912.0,71.0,3.0,27.0,28.0,38.0,4.0
1309,West Haralson Elementary School,671,Elementary School,770.574.7060,400.0,34.0,3.0,29.0,38.0,24.0,6.0
1310,Creekside School,672,Middle School,706.596.1300,835.0,50.0,0.0,32.0,42.0,26.0,0.0
1311,Park Elementary School,672,Elementary School,706.628.4997,449.0,43.0,0.0,23.0,40.0,37.0,0.0
1312,Pine Ridge Elementary School,672,Elementary School,706.568.6578,515.0,36.0,0.0,58.0,19.0,19.0,3.0
1313,Mulberry Creek Elementary School,672,Elementary School,706.320.9397,465.0,33.0,3.0,24.0,30.0,42.0,0.0
1314,New Mountain Hill Elementary School,672,Elementary School,706.323.1144,453.0,33.0,0.0,18.0,39.0,33.0,9.0
1315,Harris County High School,672,High School,706.628.4278,1665.0,87.0,0.0,24.0,39.0,26.0,10.0
1316,Harris County Carver Middle School,672,Middle School,706.628.4951,808.0,57.0,0.0,30.0,39.0,28.0,4.0
1317,North Hart Elementary School,673,Elementary School,706.856.7369,569.0,40.0,5.0,20.0,38.0,33.0,5.0
1318,Hart County Middle School,673,Middle School,706.376.5431,836.0,53.0,4.0,36.0,28.0,32.0,0.0
1319,South Hart Elementary School,673,Elementary School,706.856.7383,538.0,39.0,0.0,56.0,23.0,18.0,3.0
